User_Rating_Count,Price,Size,Update_Gap,Great_App,Subtitle_Present,Price_Free,Description_Length,Genre_Adventure,Genre_Family,Language_EN,Languages_Count,In_App_Count,In_App_Max
16.0,1.99,16104448.0,212630400000000000,0,0,0,1905,0,0,1,1,0,0.0
368.0,3.99,34542592.0,214012800000000000,1,0,0,1899,0,0,1,2,0,0.0
107.0,0.0,23666919.0,0,0,0,1,925,0,0,1,3,0,0.0
15.0,0.0,3866624.0,124070400000000000,0,0,1,730,0,0,1,10,0,0.0
1003.0,1.99,52358144.0,214963200000000000,1,0,0,814,0,0,1,1,0,0.0
697.0,0.0,16104448.0,176688000000000000,0,0,1,2054,0,0,1,1,0,0.0
85.0,1.99,20706304.0,207446400000000000,0,0,0,345,0,0,1,1,0,0.0
132.0,0.99,8119296.0,262224000000000000,0,0,0,1105,0,1,1,1,0,0.0
45.0,0.0,4509696.0,112492800000000000,0,0,1,193,0,0,1,1,0,0.0
15.0,3.99,23407616.0,213494400000000000,0,0,0,2042,0,0,1,2,1,2.99
16293.0,0.0,71884800.0,197424000000000000,0,0,1,782,0,0,1,1,0,0.0
18279.0,4.99,65495040.0,245462400000000000,1,1,0,2158,0,0,1,1,9,5.99
136.0,0.0,46461952.0,214704000000000000,0,0,1,2104,0,0,1,1,0,0.0
37299.0,0.0,14755916.0,11404800000000000,0,0,1,2460,0,0,1,1,0,0.0
978.0,0.99,154198016.0,261532800000000000,0,1,0,3433,0,0,1,10,0,0.0
39.0,0.99,2984960.0,196732800000000000,0,0,0,1291,0,0,1,1,0,0.0
35.0,0.99,2849792.0,183600000000000000,0,0,0,1190,0,0,1,1,0,0.0
113.0,0.99,44390400.0,277776000000000000,0,1,0,972,0,0,1,2,0,0.0
5326.0,7.99,48809984.0,241920000000000000,0,0,0,4121,0,0,1,1,3,4.99
1158.0,0.0,21807104.0,144460800000000000,0,0,1,2334,0,0,1,1,0,0.0
3447.0,4.99,208099328.0,295833600000000000,0,1,0,3256,0,0,1,4,10,19.99
11.0,5.99,23780352.0,264729600000000000,0,0,0,587,0,0,1,2,0,0.0
119.0,0.0,20304207.0,1468800000000000,0,0,1,944,0,0,1,3,0,0.0
19.0,1.99,129360896.0,274147200000000000,1,0,0,665,0,0,1,1,4,1.99
769.0,0.0,28652544.0,286416000000000000,0,0,1,896,0,0,1,2,1,1.99
23.0,4.99,25844736.0,252028800000000000,0,0,0,2746,0,0,1,1,0,0.0
1782.0,0.0,165506048.0,169344000000000000,0,0,1,1696,0,0,1,1,10,19.99
552.0,0.0,6614449.0,44409600000000000,0,0,1,1054,0,0,1,3,0,0.0
